Abreviacion,Nombre
Velocity Investments LLC,"Velocity Investments, LLC"
EDFIN/ESA,Edfinancial Services
CCS COLLECTIONS 60357,Credit Collection Services (CCS)
MODPED,Modern Purpose (MPOWER Financing)
medical,medical
CAPONEAUTO,Capital One Auto Finance
CREDIT COLL,Credit Collection Services (CCS)
SECURITY FIN,Security Finance
CREDITACPT,Credit Acceptance Corporation
CREDIT CONTROL,Credit Control Corporation (Agencia de cobros)
ALLY,Ally Finantial 
ALLY FINCL,Ally Financial
"CREDIT CONTROL, LLC","Credit Control, LLC"
Phillips & Cohen Associates LTD,"Phillips & Cohen Associates, Ltd."
DEPTEDNELNET,US Dept. of Education / Nelnet (Administrador préstamos)
KIKOFFINC,Kikoff Inc.
MEDICAL PAYMENT DATA,Medical Payment Data
DP OF EDUC,US Department of Education
Verizon Wireless,Verizon Wireless
OPORTUN/PA,Oportun / Pathward (antes MetaBank
Second Round LLC,"Second Round, LLC (Agencia de cobros)"
I C SYSTEM,"I.C. System, Inc. (Agencia de cobros)"
MARINERFIN,Mariner Finance
MOHELA/MER,MOHELA
HC ROYA,Royal Prestige
JPMCB AUTO,JPMorgan Chase Bank (Auto Finance)
SPRINGOAKCAP,Spring Oaks Capital
CAP ONE AUTO,Capital One Auto Finance
TRUIST BAN,Truist Bank
DPT ED/AIDV,US Department of Education / Aidvantage
CREDENCE RM,Credence Resource Management 
AMSHER COLLECTION SE,Amsher Collection Services
UPSTART NETWORK INC,"Upstart Network, Inc."
JEFFERSON CAPITAL SYSTEMS,Jefferson Capital Systems
Portfolio Recovery Assoc,Portfolio Recovery Associates
NTONSTMRCO,Nationstar Mortgage (conocido como Mr. Cooper)
NR/SMS/CAL,SMS Financial 
CITIBNK,Citibank
GOODLEAP,GoodLeap (Financiamiento solar/hogar)
W FARGO BK,Wells Fargo Bank
GINNY'S,Ginny's
CAINE & WEINER COMPANY,Caine & Weiner
THE BUREAUS,"The Bureaus, Inc"
FNCC,First National Credit Card
PENTAGONBC,Pentagon Federal Credit Union
CURACAO,La Curacao
OLLO/ALLY,Ollo / Ally Financial
AVANT,"Avant, LLC"
TBOM CCI MC,The Bank of Missouri / Mastercard
REGIONS BK,Regions Bank
HD FR/TBOM,Home Depot (Fortiva Retail) / The Bank of Missouri
CONN CREDI,Conn's Credit
REPUBLIC,Republic Finance
Phillips & Cohen,Phillips & Cohen Associates
CAVALRY PORTFOLIO,Cavalry Portfolio Services
PENTAGON FCU,Pentagon Federal Credit Union
AvanteUSA,Avante USA
OPTN/WEBBA,Oportun / WebBank
OPENSKYBNK,"OpenSky / Capital Bank, N.A"
DIGITALFCU,Digital Federal Credit Union
Avante usa,Avante USA
CAINE WEINER,Caine & Weiner
SUNRISE CREDIT SERVI80064,Sunrise Credit Services
ROCKETMORT,Rocket Mortgage
CBE GROUP,The CBE Group
"Northstar Location Services, LLC",Northstar Location Services
Collection,Collection
FMCC,Ford Motor Credit Company
PNMAC,PennyMac Loan Services
MOHELA/DOFED,MOHELA / US Dept. of Education
CHRYSLRCAP,Chrysler Capital
VYSTAR CU,VyStar Credit Union
CREDIT CONTROL CORP,Credit Control Corporation
NATIONAL CREDIT SYSTEMS I,"National Credit Systems, Inc"
BMO HARRIS,BMO Harris Bank
FREEDOM MT,Freedom Mortgage
SALLIE MAE,Sallie Mae Bank
Avante,Avant Llc
Radius Global Solutions LLC,"Radius Global Solutions, LLC"
TRANSWORLD SYSTEMS I80077,Transworld Systems Inc
WB/ATL/IMGNE,WebBank / Atlanticus / Imagine Card
ARS National Services,ARS National Services
Philips and Cohen Associates,Phillips & Cohen Associates
EDFINANCIAL,Edfinancial Services
ALLY CREDI,Ally Credit / Ally Financial
CREDITCENTRL,Credit Central
"Capital Management Services, LP","Capital Management Services, LP"
KIAMOTORS,Kia Motors Finance
KIKOFFLEND,Kikoff Lending
ATLANTICUS,Atlanticus Services Corp
WC / KOALAFI,West Creek Financial / Koalafi
HNB IND,HNB Bank
TOWER LOAN,Tower Loan
TDAF,TD Auto Finance
SECURITYCRED,Security Credit Services
TEXAN CREDIT,Texan Credit Corporation
RESURGENT CAPITAL SERVICES LP,Resurgent Capital Services
CREDIT CONTROL LLC,"Credit Control, LLC"
"IC SYSTEMS, INC","I.C. System, Inc"
True Accord,TrueAccord
"CITIBANK,","Citibank, N.A."
TBOM RETAIL,The Bank of Missouri (División Retail/Fortiva)
CAVALRY PORTFOLIO SE,Cavalry Portfolio Services
EXETER FINANCE,Exeter Finance
Full Circle Financial Services,Full Circle Financial Services
NISSAN MOTOR,Nissan Motor
WAKEFIELD,Wakefield & Associates
CAINE & WEINER COMPANY INC Ba,Caine & Weiner
EXETER FI,Exeter Finance
BRIDGCREST,Bridgecrest Acceptance
CARMAXFIN,CarMax Auto Finance
NISSAN,Nissan Motor Acceptance Corporation
JPMCB HL,JPMorgan Chase Bank Home Lending
CREDIT CORP,Credit Corp Solutions
ONLINE COLLECTIONS G,Online Information Services
BANKOFMO,The Bank of Missouri
MTGSVCCTR,Mortgage Service Center
FEB-RETAIL,First Electronic Bank (Crédito retail)
WS BADCOCK,W.S. Badcock Corporation
BRYANTBANK,Bryant Bank
AMER 1STCU,America First Credit Union
VW CREDIT,Volkswagen Credit
SERVICEFIN,Service Finance Company
MIL STAR,Military Star
AM HONDA FIN,American Honda Finance
SUNRISECRED,Sunrise Credit Services
SELPORTSVC,Select Portfolio Servicing
Amsher Collections,Amsher Collection Services
RADIUSGLOBAL,Radius Global Solutions
WFHM,Wells Fargo Home Mortgage
FREEDOM MTG,Freedom Mortgage
HYUNDAIMTR,Hyundai Motor Finance
TRULIANTFCU,Truliant Federal Credit Union
GLOBAL LEN,Global Lending Services
DIVERSIFIED ADJUSTME,Diversified Adjustment Service
TSI/940,Transworld Systems Inc
PATELCO CU,Patelco Credit Union
FNWSE/OPPLNS,FinWise Bank / OppLoans
TXUENERGY,TXU Energy
GRAMEEN,Grameen America
Phillips and Cohen,Phillips & Cohen Associates
GOLDEN 1,Golden 1 Credit Union
NSTAR/COOPER,Nationstar Mortgage (conocido como Mr. Cooper)
LOANCARE,"LoanCare, LLC"
SANTANDER BK,Santander Bank
AQUA FIN,Aqua Finance
DIGITAL EFCU,Digital Federal Credit Union
ALLSTATE PROP C,Allstate Property and Casualty Insurance
BLOOM/CBNA,"Bloomingdale's / Citibank, N.A."
FRD MOTOR CR,Ford Motor Credit Company
CBW/CREDFRSH,CBW Bank / CreditFresh
CONSUMER ADJUSTMENT,Consumer Adjustment Company
seventh ave,Seventh Avenue
US BK CACS,U.S. Bank (Cardmember Services
TRAC/CBNA,"Tractor Supply / Citibank, N.A."
TRUEACCORD C,TrueAccord
Central Portfolio Control,Central Portfolio Control
POSSIBLEFINA,Possible Finance
FIRSTPOINT COLL RESO,FirstPoint Collection Resources
"CREDIT CONTROL, LLC 86622","Credit Control, LLC"
TRANSWORLD SYSTEMS I87743,Transworld Systems Inc
SBNASLFLDR,"Sunrise Banks, N.A. / Self (Self Lender)"
FAMSA,Famsa
PENTAGON,Pentagon Federal Credit Union
M&T BANK,M&T Bank
Gurstel Law Firm,Gurstel Law Firm
SOURCE RECEIVABLES MANAGE,Source Receivables Management
ALLY CARD,Ally Credit Card
BOEING ECU,Boeing Employees' Credit Union (BECU)
REGIONAL FINANCE SC,Regional Finance
OLLO/TBOM,Ollo Card / The Bank of Missouri
AQUA FINANCE,Aqua Finance
MON & MAIN,Monroe & Main
Cherry Technology,Cherry Technologies
National Enterprise Systems - NES,National Enterprise Systems
CRCORPSOL,Credit Corp Solutions
ESL FCU,ESL Federal Credit Union
STATECU,State Employees' Credit Union
CHRYSLERCAP,Chrysler Capital
DUVERA FIN,Duvera Financial
CRDMGMCOMP,The Credit Management Company
Greensky,GreenSky
Scott & Associates PC,"Scott & Associates, P.C."
NC/TABLOC,NetCredit / TAB Bank (Line of Credit)
HAPPYMONEY,Happy Money
LENDINGUSA,LendingUSA
CARRINGMTG,Carrington Mortgage Services
D&A Services,"D&A Services, LLC"
FOCUS RECEIVABLES MGMT,Focus Receivables Management
"Mercury Financial, LLC",Mercury Financial
VANCEHUFFMAN,"Vance & Huffman, LLC"
NATLCRSYS,National Credit Systems
CHERRYLLC,"Cherry Technologies, LLC"
Rausch Sturm LLP,"Rausch Sturm, LLP"
BK OF MO/TV,The Bank of Missouri / Total Visa
FOUNDERS FCU,Founders Federal Credit Union
ARRONRNTS,Aaron's rentals
CB/VICSECRMC,Comenity Bank / Victoria's Secret Mastercard
FLAGSTARBK,Flagstar Bank
SYNOVUS/GSKY,Synovus Bank / GreenSky
ATLAS,Atlas Credit
ROBERTO,Roberto's Jewelry
"SUNBIT, INC",Sunbit
CREDITCENT,Credit Central
SST,System & Services Technologies
FOUNDERS,Founders Federal Credit Union
CAINE & WEINER COMPA,Caine & Weiner
AMER HONDA,American Honda Finance
SYNOVUS/FIRSTDIGITAL,Synovus Bank / First Digital Mastercard
GECU MC,GECU Federal Credit Union / Master Card
TBOM/FRC THD,The Bank of Missouri / Fortiva (Home Depot)
APPLIED BK,Applied Bank
Republic Finance,Republic Finance
BMOHARRISBK,BMO Harris Bank
PLAZA SERVIC,"Plaza Services, LLC"
"D & A Services, LLC","D&A Services, LLC"
"Rubin and Rothman, LLC","Rubin & Rothman, LLC"
OPENSKY CBNK,"OpenSky / Capital Bank, N.A"
MIDLAND CREDIT,Midland Credit Management
REPRISEFIN,Reprise Financial
Lending Club,LendingClub Bank
HUNTER WARFIELD INC,"Hunter Warfield, Inc"
M & T BANK,M&T Bank
BMGMONEYIN,"BMG Money, Inc"
SPEEDY CASH,Speedy Cash
ST EMPL CU,State Employees' Credit Union
ENT CU,Ent Credit Union
SOURCE RECVB,Source Receivables Management
UNVL/CITI,Citibank / Universal Card
CONNS,Conn's Credit
FINWISE/AFF,FinWise Bank / American First Finance
MISSION LANE,Mission Lane
CENTRALPORTF,Central Portfolio Control
MUNICIPAL,Municipal Credit Union
CCHOLDINGS,CC Holdings
ALLSTATE FIRE C,Allstate Fire and Casualty Insurance
HARRISON,Harrison Finance Company
ATLASCREDCO,Atlas Credit Company
TOLEDO FINC,Toledo Finance
TD AUTO FINANCE,TD Auto Finance
United Collection Bureau Inc.,"United Collection Bureau, Inc"
APPLE FCU,Apple Federal Credit Union
MONEYLION,MoneyLion
TRUISTMTG,Truist Bank (Mortgage/Hipoteca)
CHECKNGO/AXF,Check 'n Go / Axcess Financial
TV/TBOM,The Bank of Missouri / Total Visa
TDBANKNA,"TD Bank, N.A."
BNDSR CBNA,"Citibank, N.A. / BrandSource"
BAXTER CU,Baxter Credit Union (BCU)
Portfolio Recovery,Portfolio Recovery Associates
"PHILLIPS & COHEN ASSOCIATES, LTD /","Phillips & Cohen Associates, Ltd."
LES SCHWAB,Les Schwab Tire Centers
PENNYMAC,PennyMac Loan Services
WESTGATERE,Westgate Resorts
HYUNDAI FINC,Hyundai Motor Finance
Client Services,"Client Services, Inc."
GINNY'S INC,Ginny's
LOANDEPOT.,loanDepot
CKS PRIME IN,Checks Prime Inc
MIDLAND CREDIT MANAGMENT,Midland Credit Management
NISS INFI,Nissan Motor Acceptance / Infiniti
DISCOVER BK,Discover Bank
E.R SOLUTIONS,"E.R. Solutions, Inc"
DN RBRTO JWL,Don Roberto Jewelers
ERC,Enhanced Recovery Company
CAF,Credit Acceptance Corp
DANIELS JWLS,Daniel's Jewelers
LOGIX FCU,Logix Federal Credit Union
CANVAS CU,Canvas Credit Union
MED DATA SYS,Medical Data Systems
World Finance Corporation,World Finance
FEDLOAN,FedLoan Servicing
"Hunt & Henriques, LLP",Hunt & Henriques
PETALCARD1,Petal Card
"Mandarich Law Group, LLP",Mandarich Law Group
KIA FIN AM,Kia Finance America
MB FIN SVC,Mercedes-Benz Financial Services
CASHNET USA,CashNetUSA
P&F CRED U,Police and Fire Federal Credit Union
AURA FINANCI,Aura Financial
ATLASCREDI,Atlas Credit Company
ROCKET MTG,Rocket Mortgage (antes Quicken Loans)
RESURGERECVE,Resurgent Receivables
TRIDENTAM,Trident Asset Management
HUGHES FCU,Hughes Federal Credit Union
AMER FST FIN,American First Finance
Glass Mountain Capital LLC,"Glass Mountain Capital, LLC "
COASTCOMBNK,Coastal Community Bank
RGS FINANCIAL,"RGS Financial, Inc"
ATTYGENERL,Attorney General
CB/WOMNWTHN,Comenity Bank / Woman Within
GLBLNDSVCS,Global Lending Services
CB/CAESARS,Comenity Bank / Caesars Rewards Visa
"Blitt and Gaines, PC","Blitt & Gaines, P.C."
