Abreviacion,Nombre
CITIZNSBNKNA,Citizens bank
CITZENSPAY,Citizens Bank Pay
"CKS PRIME INVESTMENTS, LL",CKS Financial
CKSPRIMEIN,Cks Prime Investments
CLEAR AIR LENDING,Clear Air Lending
CM/VSMC,Comenity bank victoria secret
COASTL/PROSP,PROSPER - Coastal Community Bank
COLLBUREAU,Collection Bureau Inc
COMENITY BANK/WOMNWTHN,Comenity Capital Bank / Woman Within Platinum Credit Card
COMMERCEBK,Commerce Bank
CONN\\\'S SERV,Conn’s Inc
CORTRUSTCC,CorTrust Bank
COUNTRY DR,Country DR Bank
COV CREDIT,Covington Credit
CPORT CU,cPort Credit Union
CRDT FIRST,Credit First
CRDTONEBNK,Credit One Bank
CREDIT BUREAU OF YORK,CBY Professional Services - York
CREDIT MANAGEMENT GROUP,Credit Management
CREDIT ONE BANK,CREDIT ONE BANK
CREDIT ONE BANK NA,Credit One Bank
"CREDIT ONE BANK, N.A.",CREDIT ONE BANK
CREDIT9 LLC,Credit9 - Limited Liability Company
"CREDIT9,IN",Credit9
CREDITONEBNK,Credit One Bank
CSTLECREDC,Castle Credit
CU GA,Credit Union of Georgia
CUOFTEXAS,Credit Union of Texas
CVNGTNCRED,Covington Credit
DADE CTY,Dade City
DEBT REC SOL,Debt recovery solutions
DEBT RECOVERY SOLUTI51622,Debt Recovery Solutions
DEPT CORRE,Department of corrections
DISCOVER,Discover Consumer Bank
DISCOVER BANK,DISCOVER BANK
DISCOVER PL,Discover Personal Loan
DISCOVERBANK,Discover Consumer Bank
DISCOVERCARD,Discover Credit Card
DRBANK/UPST,DR Bank and Upstart
DSRM NT BK,Dsrm national bank
DUPACO CU,DUPACO COMMUNITY CREDIT UNION
EASTERN ACCOUNT SYST80075,Eastern Account System
EECU,Educational Employees Credit Union
ELAN FIN SVC,Elan Financial Services
ELAN FINCL,Elan Financial Services
ENERBANKUS,EnerBank USA (UNACCEPTABLE CREDITOR)
FCC/TBOM (FORTIVA),Fortiva Credit of The Bank of Missouri
FCU,Federal Credit Union
FEB DESTINY,First Electronic Bank DESTINY Card
FEB/CREDFRSH,First Electronic Bank / CreditFresh
FEBRETAIL,First Electronic Bank
FETTIFHT/WEB,Fetti Fingerhut Credit Account web Bank
FHUT/WEBBK,Fingerhut/WebBank
FHUT/WEBBK ,Fingerhut / Web Bank
FINGERHUT,FINGERHUT
,
FINWISE,FinWise Bank
FINWISE RISE,FinWise Bank / Rise Credit
FINWISE/LL,FinWise Bank
FIRST CHOICE FINANCIAL,First Choice Financial Group
FIRST ELECTRONIC BANK,First Electronic Bank
FIRST ENT.,First Entertainment Credit Union
FIRST PREMIER BANK,First Premier Bank
FIRST PREMIERE,First premiere
FIRST SVG CC,First Savings Bank Credit Card
FIRSTNATIO,First National Bank
FIRSTTECH,First Tech Federal Credit Union
FLA CR UN,Florida Credit Union
FLAGSHIPCR,Flagship Bank
FNB OF PA,First National Bank of Pennsylvania
FNB OMAHA,First National Bank of Omaha
FNBO/CCS,FNBO - CCS Bank
FNBT,First natioanl bank texas
FPCU,Financial Partners Credit Union
FRC/TBOM,Fortiva Retail Credit of The Bank of Missouri
FRMRS FURN,Farmers Home Furniture
FRST CIT B,First Citizens Bank
FRSTFIN/FNBP,First Financial Bank / First National Bank of Pasco
FRSTSOWST,First Southwest Bank
FSB BLAZE,First Savings Bank – Blaze Credit Card
FSB-BLAZE,First Savings Bank Blaze
FST PREMIE BANK,First PREMIER Bank
FST PREMIER,First PREMIER Bank
GAFH/FWB,Great American Finance - FinWise
GB BANKUSA,GB Bank USA
GDYR/CBNA,Goodyear Credit Card / CitiBank of North America
GECU FCU,Gecu federal credit union
GLOBAL FCU,Global Federal Credit Union
GLOBALFCU,Global Federal Credit Union
GM FINANCIAL,GM FINANCIAL
GMFNANCIAL,GM FNANCIAL bank
GNCU,greater nevada credit union
GOLDEN 1 CU,Golden 1 Credit Union
GOLDMANSAC,Goldman Sachs
GOODYR/CBNA,Goodyear - Citi Bank of America
GR AM FIN,great american finance
GREATERALLIA,Greater Alliance Federal Credit Union
GREENSTATECU,Green State Credit Union
GROWFCU,Grow Financial Federal Credit Union
GRVL CREDIT CARD,Greenville Savings Bank
GS BANK USA,Goldman Sachs Bank USA
GS BANK USA-GENERAL,Goldman Sachs Bank USA GENERAL
GSBANKUSA,Goldman Sachs Bank
GTKY CU,Greater Kentucky Credit Union
GUARDIAN CU,Guardian Credit Union
HAPO BKCD,HAPO Community Credit Union
HCCR/VIVE,Vive Financial (High-cost credit review)
HD FR/TBOM -,Home Depot (Fortiva Retail) / The Bank of Missouri
HEIGHTSFIN,Heights Finance
HFCU,houston federal credit union
HFS FCU,Hilo Federal Savings Federal Credit Union
HOME DEPOT,Home Depot
HOME DEPOT CBNA,Citi Bank of America/ Home Depot
HOMELANDCU,Homeland Credit Union
HOU POLIC FC,Houston Police Federal Credit Union
HSBC BANK,HSBC BANK
HUDVLYCU,Hudson Valley Credit Union
HUNTINGTONDH,Huntington Bank
"I.C. SYSTEM, INC",IC System
ID CENTRAL,Idaho Central Credit Union
ID CENTRL CU,Idaho Central Credit Union
IMPACT BANK,Impact Bank
JEFFCAPSYS,Jefferson Capital Systems
JEFFERSNCP,Jefferson Capital Systems
JEFFERSON CAPITAL SYSTEM,Jefferson Capital System
JPMCB,JPMorgan Chase Bank
JPMCB - CARD SERVICE,JPMorgan Chase Bank - Card Service
JPMCB CARD,JPMorgan Chase Bank
JPMCB HOME,J.P. Morgan Chase Bank
KEYBANK NA,KeyBank
KEYS FED CU,Keys Federal Credit Union
KOHLS/CAP1,Kohl's Capital One
LA CURACAO,Bancaribe Curacao Bank
LA FIN CU,LA Financial Credit Union (LA=Los Angeles)
LATINOCOMCU,Latino Community Credit Union
LDING EDGE,LEADING EDGE CREDIT UNION
LEAFYFINAN,Leafy Financial
LENDCLUB BNK,LendingClub Bank
LENDING POINT,Lending Point
LENDING PT,Lending Point
LENDUMO LOANS,Lendumo Loans
LESSCHWABT,LES SCHWAB BANK
LIGHTSTRM,LightStream
LINE 5,LINE 5
LOANCARE LLC,Loan Care - Limited Liability Company
LOCKHART MORRIS & MONTGOM,LOCKHART MORRIS & MONTGOM
LVNV FUNDING,Resurgent Capital Services
LVNV FUNDING LLC,LVNV FUNDING LLC
LVNVFUNDG,LVNV Funding
M A R S INC,Mars Bank
M&T BANKCC,M&T Bank
MABT/CONTF,Mid America Bank & Trust Continental
MABT/CONTFIN,Mid America Bank & Trust/Continental Finance
MACYS/CBNA,Macys Citi Bank of America
"MACYS/CITIBANK, N.A.",Macys City Bank
MACYSCBNA,Macy's Community Bank of North America/Citi Bank of America
MARINR FINC,Mariner Finance
